text,favoriteCount,created,id,retweetCount,chars,month,year,day,time,label
"I don't think the voters will forget the rigged system that allowed Crooked Hillary to get away with ""murder."" Come November 8; she's out!",37549,7/6/2016 4:30,7.51E+17,13115,138,7,2016,6,270,1
Raised a lot of money for the Republican Party. There will be a big gasp when the figures are announced in the morning. Lots of support! Win,25629,7/6/2016 4:23,7.51E+17,6187,140,7,2016,6,263,1
I will be interviewed by @oreillyfactor tonight on @FoxNews at 11pm. Enjoy!,10820,7/6/2016 2:21,7.51E+17,2356,75,7,2016,6,141,-1
My son; @EricTrump will be interviewed by @SeanHannity tonight at 10pm on @FoxNews. Enjoy!,12470,7/6/2016 0:52,7.50E+17,2782,90,7,2016,6,52,-1
It was great spending time with @joniernst yesterday. She has done a fantastic job for the people of Iowa and U.S. Will see her again!,15247,7/5/2016 12:05,7.50E+17,3873,134,7,2016,5,725,1
Taxpayers are paying a fortune for the use of Air Force One on the campaign trail by President Obama and Crooked Hillary. A total disgrace!,38366,7/5/2016 11:14,7.50E+17,14770,139,7,2016,5,674,1
"On @FoxNews at 7:00 P.M. ""Special: Meet the Trumps"" Hope you enjoy!",12967,7/4/2016 22:59,7.50E+17,2986,67,7,2016,4,1379,1
Why is President Obama allowed to use Air Force One on the campaign trail with Crooked Hillary? She is flying with him tomorrow. Who pays?,56100,7/4/2016 22:30,7.50E+17,22198,138,7,2016,4,1350,1
With Hillary and Obama; the terrorist attacks will only get worse. Politically correct fools; won't even call it what it is - RADICAL ISLAM!,33046,7/4/2016 15:34,7.50E+17,12400,140,7,2016,4,934,1
"Crooked Hillary Clinton is ""guilty as hell"" but the system is totally rigged and corrupt! Where are the 33;000 missing e-mails?",28884,7/4/2016 15:26,7.50E+17,10890,127,7,2016,4,926,1
The only people who are not interested in being the V.P. pick are the people who have not been asked!,17595,7/4/2016 14:25,7.50E+17,4836,101,7,2016,4,865,1
I look forward to meeting @joniernst today in New Jersey. She has done a great job as Senator of Iowa!,12798,7/4/2016 14:19,7.50E+17,3282,102,7,2016,4,859,1
Spent time with Indiana Governor Mike Pence and family yesterday. Very impressed; great people!,14142,7/4/2016 14:11,7.50E+17,3472,95,7,2016,4,851,1
Senator Tom Cotton was great on Meet the Press yesterday. Despite a totally one-sided interview by Chuck Todd; the end result was solid!,13914,7/4/2016 13:56,7.50E+17,3498,136,7,2016,4,836,1
Dishonest media is trying their absolute best to depict a star in a tweet as the Star of David rather than a Sheriff's Star; or plain star!,24679,7/4/2016 13:42,7.50E+17,7515,139,7,2016,4,822,1
Only a fool would believe that the meeting between Bill Clinton and the U.S.A.G. was not arranged or that Crooked Hillary did not know.,27366,7/3/2016 20:16,7.50E+17,9532,135,7,2016,3,1216,1
Just watched @meetthepress and how totally biased against me Chuck Todd; and the entire show; is against me.The good news-the people get it!,20268,7/3/2016 17:40,7.50E+17,5891,140,7,2016,3,1060,1
It was just announced-by sources-that no charges will be brought against Crooked Hillary Clinton. Like I said; the system is totally rigged!,49855,7/2/2016 21:13,7.49E+17,21459,140,7,2016,2,1273,1
It is impossible for the FBI not to recommend criminal charges against Hillary Clinton. What she did was wrong! What Bill did was stupid!,36477,7/2/2016 20:39,7.49E+17,13088,137,7,2016,2,1239,1
Thank you @greta. #ImWithYou https://t.co/SLdqNhD4Tm,14680,7/2/2016 15:33,7.49E+17,5979,52,7,2016,2,933,-1
Thank you for your support!  #AmericaFirst #LeadRight2016  https://t.co/a6f6xZNrym,9287,7/2/2016 15:32,7.49E+17,2985,82,7,2016,2,932,-1
Thank you! #AmericaFirst https://t.co/MYG45LxGmH,24292,7/2/2016 15:23,7.49E+17,8606,48,7,2016,2,923,-1
If I become the next POTUS- they will not be ignoring! #AmericaFirst   https://t.co/97R0cQdnGI,10165,7/2/2016 15:19,7.49E+17,4098,94,7,2016,2,919,-1
Crooked Hillary -- Makes History!   #ImWithYou #AmericaFirst https://t.co/PKQhYhMmIX,25550,7/2/2016 15:19,7.49E+17,11182,84,7,2016,2,919,-1
The #2A to our Constitution is clear. The right of the people to keep &amp; bear Arms shall not be infringed upon. https://t.co/sqe12D0MBJ,25881,7/2/2016 13:55,7.49E+17,10335,138,7,2016,2,835,-1
#AmericaFirst #ImWithYou https://t.co/iEcnnlJ728,16615,7/2/2016 13:45,7.49E+17,5981,48,7,2016,2,825,-1
The speakers slots at the Republican Convention are totally filled; with a long waiting list of those that want to speak - Wednesday release,14744,7/2/2016 11:55,7.49E+17,4657,140,7,2016,2,715,1
"Just read in the failing @nytimes that I was not aware ""the event had to be held in Cleveland"" - a total lie. These people are sick!",13110,7/2/2016 11:48,7.49E+17,4071,132,7,2016,2,708,1
When you can't say it - or see it -- you can't fix it. We will MAKE AMERICA SAFE AGAIN! #ImWithYou #AmericaFirst https://t.co/Vd2A747L29,14293,7/2/2016 1:29,7.49E+17,5111,136,7,2016,2,89,-1
Just returned from Colorado. Amazing crowd!,15321,7/2/2016 1:19,7.49E+17,3173,43,7,2016,2,79,1
Thank you for inviting me to the Western Conservative Summit in Colorado! #ImWithYou #WCS16   https://t.co/lK3UW4fY2q https://t.co/QDQhRRuBbG,13563,7/1/2016 19:47,7.49E+17,4110,141,7,2016,1,1187,-1
Thank you for your support! We will MAKE AMERICA SAFE AND GREAT AGAIN! #ImWithYou #AmericaFirst https://t.co/ravfFT5UBE,26297,7/1/2016 17:07,7.49E+17,8108,119,7,2016,1,1027,-1
These crimes won't be happening if I'm elected POTUS. Killer should have never been here. #AmericaFirst   https://t.co/XDGKaj0ico,14882,7/1/2016 16:43,7.49E+17,7063,129,7,2016,1,1003,-1
Yet another terrorist attack today in Israel -- a father; shot at by a Palestinian terrorist; was killed while:  https://t.co/Cv1HzKVbiT,9631,7/1/2016 15:51,7.49E+17,4242,136,7,2016,1,951,-1
Horrible killing of a 13 year old American girl at her home in Israel by a Palestinian terrorist. We must get tough. https://t.co/zauQ6kb9Hj,13916,7/1/2016 13:32,7.49E+17,5598,140,7,2016,1,812,-1
.@TraceAdkins great job on FOX this morning. Keep up the good work!,10484,7/1/2016 13:24,7.49E+17,2563,67,7,2016,1,804,-1
Take a look at what happened w/ Bill Clinton. The system is totally rigged. Does anybody really believe that meeting was just a coincidence?,27782,7/1/2016 12:12,7.49E+17,10870,140,7,2016,1,732,-1
Bill Clinton's meeting was a total secret. Nobody was to know about it but he was caught by a local reporter.,20547,7/1/2016 12:12,7.49E+17,7996,109,7,2016,1,732,-1
As Bernie Sanders said; Hillary Clinton has bad judgement. Bill's meeting was probably initiated and demanded by Hillary!,18527,7/1/2016 12:11,7.49E+17,6066,121,7,2016,1,731,-1
I will be interviewed by @SeanHannity tonight at 10pm on FOX! Enjoy!,11265,6/30/2016 22:41,7.49E+17,3040,68,6,2016,30,1361,-1
The reason I put up approximately $50 million for my successful primary campaign is very simple; I want to MAKE AMERICA GREAT AGAIN!,27277,6/30/2016 19:30,7.49E+17,8544,132,6,2016,30,1170,-1
I have self funded my winning primary campaign with an approx. $50 million loan. I have totally terminated the loan!,18756,6/30/2016 19:30,7.49E+17,5069,116,6,2016,30,1170,-1
The very dishonest @NBCNews refuses to accept the fact that I have forgiven my $50 million loan to my campaign. Done deal!,16694,6/30/2016 19:29,7.49E+17,5376,122,6,2016,30,1169,-1
One of the reasons Hillary hid her emails was so the public wouldn't see how she got rich- selling out America.   https://t.co/mO9QrmYXRD,17450,6/30/2016 19:28,7.49E+17,7935,137,6,2016,30,1168,-1
Why would college graduates want Crooked Hillary as their President? She will destroy them!   https://t.co/S80xxdeHfG,12241,6/30/2016 18:53,7.49E+17,5104,117,6,2016,30,1133,-1
For reasons only they can explain; the @USChamber wants to continue our bad trade deals rather than renegotiating and making them better.,15425,6/30/2016 2:39,7.48E+17,5495,137,6,2016,30,159,1
Tremendous day in Massachusetts and Maine. Thank you to everyone for making it so special!,14201,6/30/2016 2:30,7.48E+17,3379,90,6,2016,30,150,1
"""@Gengm7: @jakeda @realDonaldTrump As of April this year; Hillary had spent $264;000;000 on her campaign Mr.Trump $55;000;000. self funding""",16602,6/30/2016 1:46,7.48E+17,6002,140,6,2016,30,106,1
I will be on @oreillyfactor at 8:00 P.M. Enjoy!,10413,6/29/2016 22:57,7.48E+17,2462,47,6,2016,29,1377,1
ISIS exploded on Hillary Clinton's watch- she's done nothing about it and never will. Not capable!,26993,6/29/2016 18:21,7.48E+17,10211,98,6,2016,29,1101,-1
Will be in Bangor; Maine today! Join me- 4pmE at the Cross Insurance Center! https://t.co/y4n4nERPFr https://t.co/7LAPewxE05,9722,6/29/2016 14:48,7.48E+17,2777,124,6,2016,29,888,-1
New Q poll out- we are going to win the whole deal- and MAKE AMERICA GREAT AGAIN! #Trump2016 https://t.co/dL5ahNcwZb,21288,6/29/2016 14:39,7.48E+17,6777,116,6,2016,29,879,-1
Just watched Senator John Barrasso on @FoxNews - He was great! Thank you John.,10020,6/29/2016 14:37,7.48E+17,2689,78,6,2016,29,877,1
Why would the USChamber be upset by the fact that I want to negotiate better and stronger trade deals or that I want penalties for cheaters?,19318,6/29/2016 13:14,7.48E+17,6517,140,6,2016,29,794,1
The @USCHAMBER must fight harder for the American worker. China; and many others; are taking advantage of U.S. with our terrible trade pacts,13648,6/29/2016 13:09,7.48E+17,4389,140,6,2016,29,789,1
Iron Mike Tyson was not asked to speak at the Convention though I'm sure he would do a good job if he was. The media makes everything up!,19613,6/29/2016 2:55,7.48E+17,5573,137,6,2016,29,175,1
"""@jtsbk:  @AllenWest thanks for sharing Eric we need @realDonaldTrump now as this administration is incapable of keeping our country safe""",12115,6/29/2016 0:31,7.48E+17,3862,138,6,2016,29,31,1
Check it out - 2nd video on Lying Crooked Hillary is now online! Watch it here:   https://t.co/5mtwkOvQnd   #CrookedHillary #Trump2016,11104,6/28/2016 19:30,7.48E+17,5190,134,6,2016,28,1170,-1
"""@kridan1: Canceled cable - sick of their bad coverage of you and the fawning over Clinton ... Listened to your great speech on YouTube""",12590,6/28/2016 19:28,7.48E+17,3241,136,6,2016,28,1168,1
"""@bluedogdemky: @CWAUnion @iowa_trump @RichardTrumka @AFLCIO This is why I would think the unions would support @realDonaldTrump for #POTUS""",7442,6/28/2016 19:26,7.48E+17,2129,140,6,2016,28,1166,1
"""@arnold_ziffel: @AnnCoulter also can't help but notice the stock market's reaction as @realDonaldTrump was speaking. #UPUPUP""",8995,6/28/2016 19:24,7.48E+17,2854,126,6,2016,28,1164,1
"""@Patricia_Graf:  @GovBrewer @cvpayne let's get Trump supporters out in massive numbers and make America Great Again - create jobs""",10093,6/28/2016 19:24,7.48E+17,3086,131,6,2016,28,1164,1
"""@vegas_sports: Good for @realDonaldTrump he's smart on business. Maybe If corporations weren't overtaxed they would stay. Voting for #Trump",8951,6/28/2016 19:23,7.48E+17,2586,140,6,2016,28,1163,1
"""@GovBrewer: I'll be a guest today on Making Money with @cvpayne on @ Fox Business 6 PM ET / 3 PM PT Discussing @realDonaldTrump. Tune in!""",7300,6/28/2016 19:20,7.48E+17,1971,139,6,2016,28,1160,1
.@CNN is all negative when it comes to me. I don't watch it anymore.,23994,6/27/2016 13:39,7.47E+17,7166,68,6,2016,27,819,1
The media is unrelenting. They will only go with and report a story in a negative light. I called Brexit (Hillary was wrong); watch November,22289,6/27/2016 13:18,7.47E+17,6925,140,6,2016,27,798,1
Crooked Hillary is wheeling out one of the least productive senators in the U.S. Senate; goofy Elizabeth Warren; who lied on heritage.,26079,6/27/2016 13:07,7.47E+17,8299,134,6,2016,27,787,1
"""@LindaSuhler: Trump voters don't scare or back down. Our numbers are growing &amp; we're taking our country BACK. #Trump2016<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> #MAGA",24137,6/27/2016 1:33,7.47E+17,8937,211,6,2016,27,93,1
"""@w4djt: ""Under a Trump presidency; America will make brilliant new trade deals!"" ?onald Trump #dtmag https://t.co/NpYI9i4iSG""",20216,6/27/2016 1:31,7.47E+17,6077,126,6,2016,27,91,1
"""@brazosboys: Hillary read ""sigh"" off the Teleprompter; She's so fake she has to be told how to feel: https://t.co/ENXliW2m77 @FoxNews",21601,6/27/2016 0:38,7.47E+17,9411,134,6,2016,27,38,1
"""@JimVitari:  @ABC @washingtonpost we know they're fake just like poles during primary. I'm sure u will crush #CrookedHillary in general""",11701,6/26/2016 23:24,7.47E+17,3363,137,6,2016,26,1404,1
"The ""dirty"" poll done by @ABC @washingtonpost is a disgrace. Even they admit that many more Democrats were polled. Other polls were good.",15322,6/26/2016 23:13,7.47E+17,5222,137,6,2016,26,1393,1
Crooked Hillary Attacks Foreign Government Donations - While Ignoring Her Own: https://t.co/pr3BSHJSxL,11187,6/26/2016 22:28,7.47E+17,4383,102,6,2016,26,1348,-1
Crooked Hillary Clinton got Brexit wrong. I said LEAVE will win. She has no sense of markets and such bad judgement. Only a question of time,17718,6/26/2016 22:15,7.47E+17,5588,140,6,2016,26,1335,1
Hillary Clinton is not a change agent; just the same old status quo! She is spending a fortune; I am spending very little. Close in polls!,18943,6/26/2016 22:09,7.47E+17,5942,138,6,2016,26,1329,1
People in our country want borders; and without them the old line pols like Crooked Hillary will not win. It is time for CHANGE -- and JOBS!,21121,6/26/2016 21:21,7.47E+17,6750,140,6,2016,26,1281,1
Top 50 Facts About Crooked Hillary Clinton From Trump 'Stakes Of The Election' Address: https://t.co/lfUdXYnsgJ,12444,6/26/2016 16:31,7.47E+17,6110,111,6,2016,26,991,-1
The @ABC poll sample is heavy on Democrats.  Very dishonest - why would they do that? Other polls good!,14341,6/26/2016 16:21,7.47E+17,4697,103,6,2016,26,981,1
Crooked Hillary just took a major ad of me playing golf at Turnberry. Shows me hitting shot; but I never did = lie! Was there to support son,21158,6/26/2016 16:06,7.47E+17,7256,140,6,2016,26,966,1
Clinton is trying to wash away her bad judgement call on BREXIT with big dollar ads. Disgraceful!,18695,6/26/2016 11:36,7.47E+17,6442,97,6,2016,26,696,1
Crooked Hillary Clinton; who called BREXIT 100% wrong (along with Obama); is now spending Wall Street money on an ad on my correct call.,22152,6/26/2016 11:33,7.47E+17,7688,136,6,2016,26,693,1
George Will; one of the most overrated political pundits (who lost his way long ago); has left the Republican Party.He's made many bad calls,18845,6/26/2016 11:24,7.47E+17,5400,140,6,2016,26,684,1
Just landed in New York - a one night stay in Scotland. Turnberry came out magnificently. My son; Eric; did a great job - under budget!,21872,6/26/2016 3:32,7.47E+17,4761,135,6,2016,26,212,1
Obama has blocked ICE officers and BP from doing their jobs. That ends when I am President!,24090,6/26/2016 2:40,7.47E+17,8306,91,6,2016,26,160,-1
I have never liked the media term 'mass deportation' -- but we must enforce the laws of the land!,22687,6/26/2016 2:39,7.47E+17,6800,97,6,2016,26,159,-1
We only want to admit those who love our people and support our values. #AmericaFirst,24263,6/26/2016 2:37,7.47E+17,8477,85,6,2016,26,157,-1
We must suspend immigration from regions linked with terrorism until a proven vetting method is in place.,35065,6/26/2016 2:37,7.47E+17,11902,105,6,2016,26,157,-1
Thank you to everyone who came out &amp; joined us @TrumpTurnberry yesterday! @EricTrump @IvankaTrump @DonaldJTrumpJr https://t.co/hQ1JTMrUtG,14850,6/25/2016 16:00,7.47E+17,3997,141,6,2016,25,960,-1
On the 13th tee box @TrumpScotland with my grand daughter; Kai! @DonaldJTrumpJr https://t.co/7ii4KUfsab,9935,6/25/2016 15:07,7.47E+17,2232,103,6,2016,25,907,-1
Arriving @TrumpScotland with @DonaldJTrumpJr &amp; @EricTrump. Back to New York tonight.   Video: https://t.co/2GUKqOTHS5,8456,6/25/2016 14:55,7.47E+17,2004,121,6,2016,25,895,-1
So funny; Crooked Hillary called BREXIT so incorrectly; and now she says that she is the one to deal with the U.K. All talk; no action!,27000,6/25/2016 12:00,7.47E+17,8724,135,6,2016,25,720,1
Thoughts and prayers are with everyone in West Virginia- dealing with the devastating floods. #ImWithYou,27727,6/25/2016 4:29,7.47E+17,9199,104,6,2016,25,269,-1
"""@Jolena3: @realDonaldTrump And we will get it back once we have President Trump! Can't wait!""",11267,6/24/2016 22:31,7.46E+17,2801,94,6,2016,24,1351,1
"""@DarrenWaggener: @realDonaldTrump What has happened in the UK in the last 12 hours is exactly what will happen in November..vote TRUMP 2016",18414,6/24/2016 22:12,7.46E+17,6138,140,6,2016,24,1332,1
Many people are equating BREXIT; and what is going on in Great Britain; with what is happening in the U.S. People want their country back!,29171,6/24/2016 21:43,7.46E+17,10287,138,6,2016,24,1303,1
The opening of Trump Turnberry in Scotland was a big success. Good timing; I was here for BREXIT. Very exciting news conference today!,16780,6/24/2016 21:34,7.46E+17,4163,134,6,2016,24,1294,1
Hillary Lies to Benghazi Families  #CrookedHillary   https://t.co/YWd5lk5skG,12367,6/23/2016 17:07,7.46E+17,5310,76,6,2016,23,1027,-1
"ISIS threatens us today because of the decisions Hillary Clinton has made along with President Obama.""  --  Donald J. Trump",25423,6/23/2016 13:20,7.46E+17,9366,123,6,2016,23,800,1
"""Hillary Clinton may be the most corrupt person ever to seek the presidency.""  --   Donald J. Trump",26124,6/23/2016 13:17,7.46E+17,10021,99,6,2016,23,797,1
"Thank you to Donald Rumsfeld for the endorsement. Very much appreciated. Clinton's conduct has been ""disqualifying.""",20264,6/23/2016 13:13,7.46E+17,5979,116,6,2016,23,793,1
"""@AllegrettiVicki: You have great children; future presidents...and we all see were raised right and out there for their father."" Thank you.",11935,6/23/2016 3:29,7.46E+17,2954,140,6,2016,23,209,1
"""@1lion: brilliant 3 word response to Hillary's 'I'm With You'  slogan https://t.co/dJL71jwK0g @realDonaldTrump https://t.co/Audi8h85qu""",9360,6/23/2016 2:26,7.46E+17,3184,136,6,2016,23,146,1
"""@justininglv: @realDonaldTrump great speech today!! It's all about America and that's why you will become president!!!!""  Thank you.",12497,6/23/2016 2:24,7.46E+17,3416,133,6,2016,23,144,1
#Imwithyou https://t.co/iY4K7Wcw3C,28112,6/22/2016 19:01,7.46E+17,13197,34,6,2016,22,1141,-1
"""@chrisboydbrew: @LouDobbs @realDonaldTrump @FoxBusiness.. Saw your interview.You are the best! Great questions; great answers"" Lou is great",12603,6/22/2016 3:48,7.45E+17,3530,140,6,2016,22,228,1
Crooked Hillary refuses to say that she will be raising taxes beyond belief! She will be a disaster for jobs and the economy!,28624,6/22/2016 3:16,7.45E+17,9944,125,6,2016,22,196,1
"I am ""the king of debt.""That has been great for me as a businessman; but is bad for the country. I made a fortune off of debt; will fix U.S.",20242,6/21/2016 16:55,7.45E+17,6364,140,6,2016,21,1015,1
Hillary Clinton's open borders immigration policies will drive down wages for all Americans - and make everyone less safe.,23184,6/21/2016 16:44,7.45E+17,9018,122,6,2016,21,1004,-1
Crooked Hillary Clinton is totally unfit to be our president-really bad judgement and a temperament; according to new book; which is a mess!,25437,6/21/2016 10:38,7.45E+17,8464,140,6,2016,21,638,1
When I said that if; within the Orlando club; you had some people with guns; I was obviously talking about additional guards or employees,30281,6/20/2016 10:24,7.45E+17,7876,137,6,2016,20,624,1
.@DJohnsonPGA We are so proud of you Dustin. Your reaction under pressure was amazing. First of many Majors. You are a true CHAMPION!,21487,6/20/2016 1:22,7.45E+17,5689,133,6,2016,20,82,1
"""@bfraser747: Watch out HillaryClinton <ed><U+00A0><U+00BD><ed><U+00B1><U+00BF> Support @realDonaldTrump <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> #MakeAmericaGreatAgain <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> https://t.co/UTYOLo7wGF""",28826,6/19/2016 13:17,7.45E+17,10207,395,6,2016,19,797,1
Yesterday's failing @NYTimes fraudulently shows an empty room prior to my speech; when in fact; it was packed! https://t.co/iFuf8MdTEH,27227,6/19/2016 3:01,7.44E+17,10584,134,6,2016,19,181,-1
How can the NY Times show an empty room hours before my speech even started when they knew it was going to be packed? So totally dishonest!,25994,6/19/2016 2:57,7.44E+17,7758,139,6,2016,19,177,-1
Donald Trump's Speech Is a Game Changer. #Trump2016  https://t.co/VXjtSivvuU https://t.co/dIK3IyrYGC,14247,6/19/2016 2:24,7.44E+17,4945,100,6,2016,19,144,-1
See you soon Arizona! #Trump2016 https://t.co/W4z2eW5ay4,13021,6/19/2016 1:28,7.44E+17,3675,56,6,2016,19,88,-1
I love you Arizona! Thank you!  #Trump2016 #AmericaFirst https://t.co/QuTsSmeVdO,16312,6/19/2016 1:10,7.44E+17,5076,80,6,2016,19,70,-1
MAKE AMERICA GREAT AGAIN! MAKE AMERICA SAFE AGAIN!  #Trump2016 #AmericaFirst https://t.co/vN4K8FvQNT,19486,6/18/2016 20:08,7.44E+17,7162,100,6,2016,18,1208,-1
Thank you Las Vegas; Nevada!  #Trump2016 #AmericaFirst   https://t.co/vhGwmhGCVR https://t.co/m1EIra7YMU,11881,6/18/2016 19:39,7.44E+17,3576,104,6,2016,18,1179,-1
In Las Vegas; getting ready to speak!,12982,6/18/2016 17:51,7.44E+17,2609,37,6,2016,18,1071,1
Join me in Phoenix; Arizona today at 4pm! #Trump2016 #AmericaFirst https://t.co/PVB6QX7VpK https://t.co/hSaIurAfvD,9860,6/18/2016 17:22,7.44E+17,2799,114,6,2016,18,1042,-1
Thank you Houston; Texas!   #AmericaFirst #Trump2016   https://t.co/593p8uRPhq,12816,6/18/2016 2:44,7.44E+17,3449,78,6,2016,18,164,-1
Thank you! #AmericaFirst  https://t.co/TZf8uwQO4L,10685,6/17/2016 23:56,7.44E+17,3215,49,6,2016,17,1436,-1
The convention in Cleveland will be amazing!  https://t.co/NlF2Gcr915,10472,6/17/2016 23:55,7.44E+17,3392,69,6,2016,17,1435,-1
Thank you- on my way!  https://t.co/uTCXPbWpve,9465,6/17/2016 23:51,7.44E+17,2681,46,6,2016,17,1431,-1
